user_id,month,region,segment,tariff_name,sessions,minutes,spend,support_calls,satisfaction,tenure_days,minutes_per_session,over_limit_minutes,spend_vs_fee,avg_sessions_3m,low_satisfaction,high_support_load
NEW001,2026_04,урал,активный,Продвинутый,12.0,478.8,18500.0,1.0,4.37,1135.0,39.9,0.0,17401.0,12.09,0,0
NEW002,2026_04,северный округ,премиальный,Стандарт,73.0,4437.9,1398.61,1.0,4.51,484.0,60.79,3237.9,699.61,76.59,0,0
NEW003,2026_04,северный округ,массовый,Стандарт,67.0,2301.0,1123.15,0.0,3.96,493.0,34.34,1101.0,424.15,56.85,0,0
NEW004,2026_04,северный округ,массовый,Старт,28.0,1333.4,1427.75,0.0,4.12,921.0,47.62,733.4,1028.75,28.1,0,0
NEW005,2026_04,сибирь,активный,Премиум,13.0,808.6,1797.33,0.0,4.25,271.0,62.2,0.0,98.33,13.78,0,0
NEW006,2026_04,урал,премиальный,Продвинутый,73.0,3385.9,150.0,1.0,3.59,54.0,46.38,1185.9,-949.0,79.45,0,0
NEW007,2026_04,северный округ,премиальный,Премиум,79.0,3739.3,531.66,1.0,4.02,595.0,47.33,0.0,-1167.34,80.94,0,0
NEW008,2026_04,сибирь,массовый,Стандарт,42.0,1264.9,1324.32,3.0,3.24,87.0,30.12,64.9,625.32,43.05,1,1
NEW009,2026_04,сибирь,массовый,Стандарт,17.0,,583.16,0.0,4.77,1164.0,,0.0,-115.84,17.54,0,0
NEW010,2026_04,сибирь,активный,Стандарт,17.0,854.9,,2.0,4.18,746.0,50.29,0.0,-448.64,16.89,0,0
NEW011,2026_04,москва,массовый,Стандарт,37.0,1816.1,532.58,0.0,5.0,224.0,49.08,616.1,-166.42,37.08,0,0
NEW012,2026_04,сибирь,премиальный,Стандарт,51.0,2308.6,1963.8,1.0,,373.0,45.27,1108.6,1264.8,49.28,0,0
NEW013,2026_04,урал,массовый,Премиум,70.0,2916.6,1646.04,1.0,4.16,435.0,41.67,0.0,-52.96,65.07,0,0
NEW014,2026_04,урал,активный,Старт,32.0,1247.7,,1.0,4.18,536.0,38.99,647.7,-249.0,32.01,0,0
NEW015,2026_04,санкт-петербург,массовый,Премиум,45.0,1718.3,461.16,1.0,4.87,91.0,38.18,0.0,-1237.84,47.16,0,0
NEW016,2026_04,урал,премиальный,Премиум,55.0,3084.7,2041.38,0.0,3.24,345.0,56.08,0.0,342.38,55.51,1,0
NEW017,2026_04,урал,премиальный,Старт,46.0,1907.1,1549.14,2.0,4.75,26.0,41.46,1307.1,1150.14,54.65,0,0
NEW018,2026_04,москва,vip,Стандарт,69.0,2911.0,994.48,2.0,3.98,758.0,42.19,1711.0,295.48,72.87,0,0
NEW019,2026_04,сибирь,активный,Старт,12.0,462.9,2123.2,0.0,4.63,80.0,38.57,0.0,1724.2,11.17,0,0
NEW020,2026_04,северный округ,массовый,Продвинутый,21.0,1187.6,908.26,1.0,3.29,306.0,56.55,0.0,-190.74,17.67,1,0
NEW021,2026_04,санкт-петербург,массовый,Продвинутый,34.0,1322.8,1740.75,1.0,4.26,515.0,38.91,0.0,641.75,27.8,0,0
NEW022,2026_04,северный округ,активный,Стандарт,24.0,793.8,1360.05,2.0,4.08,1090.0,,0.0,661.05,23.89,0,0
NEW023,2026_04,сибирь,активный,Продвинутый,16.0,1020.6,1289.99,0.0,4.83,69.0,63.79,0.0,190.99,16.39,0,0
NEW024,2026_04,санкт-петербург,массовый,Продвинутый,36.0,1749.8,937.17,1.0,4.53,285.0,48.61,0.0,-161.83,37.23,0,0
NEW025,2026_04,северный округ,премиальный,Премиум,56.0,2738.7,1263.77,1.0,4.29,34.0,48.91,0.0,-435.23,52.29,0,0
NEW026,2026_04,северный округ,массовый,Старт,53.0,1773.1,775.62,2.0,3.38,51.0,33.45,1173.1,376.62,47.01,1,0
NEW027,2026_04,северный округ,активный,Старт,35.0,1056.2,1215.01,3.0,3.47,392.0,30.18,456.2,816.01,34.8,1,1
NEW028,2026_04,урал,массовый,Продвинутый,5.0,304.8,918.18,1.0,4.48,239.0,60.96,0.0,-180.82,4.39,0,0
NEW029,2026_04,сибирь,массовый,Продвинутый,12.0,382.4,176.65,2.0,3.5,412.0,31.87,0.0,-922.35,12.18,0,0
NEW030,2026_04,москва,активный,Стандарт,43.0,2369.0,376.05,0.0,5.0,40.0,55.09,1169.0,-322.95,43.54,0,0
NEW031,2026_04,москва,премиальный,Премиум,76.0,4260.7,688.64,3.0,3.63,455.0,56.06,260.7,-1010.36,83.81,0,1
NEW032,2026_04,санкт-петербург,массовый,Старт,11.0,398.6,643.91,0.0,4.67,63.0,36.24,0.0,244.91,11.19,0,0
NEW033,2026_04,северный округ,массовый,Стандарт,67.0,2548.9,916.73,2.0,4.6,202.0,38.04,1348.9,217.73,60.11,0,0
NEW034,2026_04,урал,активный,Стандарт,70.0,1813.4,1547.75,0.0,3.73,513.0,25.91,613.4,848.75,58.21,0,0
NEW035,2026_04,санкт-петербург,активный,Продвинутый,72.0,,1293.54,0.0,,713.0,60.69,2169.5,194.54,71.99,0,0
NEW036,2026_04,москва,vip,Премиум,52.0,1685.6,894.03,4.0,4.17,938.0,32.42,0.0,-804.97,57.91,0,1
