created_date,tickets_count,avg_satisfaction,avg_resolution_hours,sla_breach_rate,rolling_mean_7d,day_of_week,is_weekend,actual,last_value,mean_7,seasonal_naive_7,arima_111,dataset_part,abs_error_last_value,abs_error_mean_7,abs_error_seasonal_naive_7,abs_error_arima_111,week_start,weekday_number,weekday_name
2026-03-01,4,4.475,10.95,0.25,4.0,Sunday,True,,,,,,train,,,,,2026-02-23,7,Воскресенье
2026-03-02,8,4.083333333333333,14.35,0.375,6.0,Monday,False,,,,,,train,,,,,2026-03-02,1,Понедельник
2026-03-03,9,4.422222222222222,14.155555555555557,0.2222222222222222,7.0,Tuesday,False,,,,,,train,,,,,2026-03-02,2,Вторник
2026-03-04,11,4.809090909090909,10.100000000000001,0.0,8.0,Wednesday,False,,,,,,train,,,,,2026-03-02,3,Среда
2026-03-05,18,3.45,29.15555555555555,0.5555555555555556,10.0,Thursday,False,,,,,,train,,,,,2026-03-02,4,Четверг
2026-03-06,12,4.363636363636363,17.974999999999998,0.4166666666666667,10.333333333333334,Friday,False,,,,,,train,,,,,2026-03-02,5,Пятница
2026-03-07,10,4.388888888888889,13.080000000000002,0.3,10.285714285714286,Saturday,True,,,,,,train,,,,,2026-03-02,6,Суббота
2026-03-08,3,3.8333333333333335,16.666666666666668,0.3333333333333333,10.142857142857142,Sunday,True,,,,,,train,,,,,2026-03-02,7,Воскресенье
2026-03-09,12,3.983333333333333,16.425,0.5833333333333334,10.714285714285714,Monday,False,,,,,,train,,,,,2026-03-09,1,Понедельник
2026-03-10,15,3.892857142857143,24.746666666666666,0.4666666666666667,11.571428571428571,Tuesday,False,,,,,,train,,,,,2026-03-09,2,Вторник
2026-03-11,7,4.314285714285715,23.514285714285712,0.14285714285714285,11.0,Wednesday,False,,,,,,train,,,,,2026-03-09,3,Среда
2026-03-12,21,4.214285714285714,18.2,0.2857142857142857,11.428571428571429,Thursday,False,,,,,,train,,,,,2026-03-09,4,Четверг
2026-03-13,17,4.55625,12.111764705882353,0.23529411764705882,12.142857142857142,Friday,False,,,,,,train,,,,,2026-03-09,5,Пятница
2026-03-14,6,4.08,17.349999999999998,0.16666666666666666,11.571428571428571,Saturday,True,,,,,,train,,,,,2026-03-09,6,Суббота
2026-03-15,3,3.3333333333333335,15.266666666666667,0.6666666666666666,11.571428571428571,Sunday,True,,,,,,train,,,,,2026-03-09,7,Воскресенье
2026-03-16,14,4.2,12.457142857142857,0.14285714285714285,11.857142857142858,Monday,False,,,,,,train,,,,,2026-03-16,1,Понедельник
2026-03-17,18,4.4944444444444445,24.211111111111112,0.16666666666666666,12.285714285714286,Tuesday,False,,,,,,train,,,,,2026-03-16,2,Вторник
2026-03-18,16,4.286666666666666,14.01875,0.125,13.571428571428571,Wednesday,False,,,,,,train,,,,,2026-03-16,3,Среда
2026-03-19,8,3.2,44.525,0.875,11.714285714285714,Thursday,False,,,,,,train,,,,,2026-03-16,4,Четверг
2026-03-20,18,3.85625,21.788888888888888,0.3888888888888889,11.857142857142858,Friday,False,,,,,,train,,,,,2026-03-16,5,Пятница
2026-03-21,6,4.15,19.683333333333334,0.16666666666666666,11.857142857142858,Saturday,True,,,,,,train,,,,,2026-03-16,6,Суббота
2026-03-22,9,4.033333333333333,12.577777777777778,0.2222222222222222,12.714285714285714,Sunday,True,,,,,,train,,,,,2026-03-16,7,Воскресенье
2026-03-23,20,3.9368421052631577,22.669999999999998,0.4,13.571428571428571,Monday,False,,,,,,train,,,,,2026-03-23,1,Понедельник
