movie_id,title,release_year,numeric__rating_score,numeric__movie_age,numeric__title_length,numeric__platform_count,categorical__age_rating_0+,categorical__age_rating_13+,categorical__age_rating_16+,categorical__age_rating_18+,categorical__age_rating_7+,categorical__age_rating_unknown,categorical__availability_group_multi_platform,categorical__availability_group_single_platform
3,David Attenborough: A Life on Our Planet,2020,3.117154461526793,-0.7287104274268826,2.144714674666887,-0.17022515745140482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,The Social Dilemma,2020,2.9661228215417363,-0.7287104274268826,0.03519475076670541,-0.17022515745140482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,The Trial of the Chicago 7,2020,2.890607001549208,-0.7287104274268826,0.8022929049122259,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,Miss Americana,2020,2.739575361564152,-0.7287104274268826,-0.34835432630605484,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30,The Half of It,2020,2.6640595415716235,-0.7287104274268826,-0.34835432630605484,-0.17022515745140482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,The Devil All the Time,2020,2.6640595415716235,-0.7287104274268826,0.4187438278394657,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,Pieces of a Woman,2020,2.5885437215790956,-0.7287104274268826,-0.06069251850148466,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,Kiss the Ground,2020,2.5130279015865673,-0.7287104274268826,-0.2524670570378648,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43,Crip Camp: A Disability Revolution,2020,2.5130279015865673,-0.7287104274268826,1.5693910590577465,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44,Extraction,2020,2.5130279015865673,-0.7287104274268826,-0.7319034033788151,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47,His House,2020,2.5130279015865673,-0.7287104274268826,-0.8277906726470052,-0.17022515745140482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,A Secret Love,2020,2.5130279015865673,-0.7287104274268826,-0.4442415955742449,-0.17022515745140482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
75,Eurovision Song Contest: The Story of Fire Saga,2020,2.286480441608983,-0.7287104274268826,2.815925559544217,-0.17022515745140482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
