created_at,actual,last_value,mean_7,seasonal_naive_7,arima_111
2026-05-20,24.0,29.0,14.857142857142858,14.0,19.131751902396925
2026-05-21,20.0,29.0,14.857142857142858,9.0,16.006588932497852
2026-05-22,20.0,29.0,14.857142857142858,15.0,15.016885036544867
2026-05-23,6.0,29.0,14.857142857142858,8.0,14.703456965401381
2026-05-24,8.0,29.0,14.857142857142858,8.0,14.60419782720618
2026-05-25,21.0,29.0,14.857142857142858,21.0,14.572763576664071
2026-05-26,15.0,29.0,14.857142857142858,29.0,14.562808703741432
2026-05-27,30.0,29.0,14.857142857142858,14.0,14.559656107665596
2026-05-28,22.0,29.0,14.857142857142858,9.0,14.558657716014128
2026-05-29,22.0,29.0,14.857142857142858,15.0,14.558341536628713
2026-05-30,11.0,29.0,14.857142857142858,8.0,14.558241406180292
2026-05-31,11.0,29.0,14.857142857142858,8.0,14.55820969599562
2026-06-01,19.0,29.0,14.857142857142858,21.0,14.558199653737468
2026-06-02,21.0,29.0,14.857142857142858,29.0,14.558196473467474
2026-06-03,29.0,29.0,14.857142857142858,14.0,14.558195466311805
2026-06-04,26.0,29.0,14.857142857142858,9.0,14.558195147356953
2026-06-05,20.0,29.0,14.857142857142858,15.0,14.558195046347546
2026-06-06,12.0,29.0,14.857142857142858,8.0,14.558195014359004
2026-06-07,13.0,29.0,14.857142857142858,8.0,14.558195004228594
2026-06-08,29.0,29.0,14.857142857142858,21.0,14.558195001020406
