created_at,tickets_count,avg_satisfaction,avg_resolution_hours,sla_breach_rate,rolling_mean_7d,day_of_week,is_weekend
2026-03-01,4,4.475,10.95,0.25,4.0,Sunday,True
2026-03-02,8,4.083333333333333,14.35,0.375,6.0,Monday,False
2026-03-03,9,4.422222222222222,14.155555555555557,0.2222222222222222,7.0,Tuesday,False
2026-03-04,11,4.809090909090909,10.100000000000001,0.0,8.0,Wednesday,False
2026-03-05,18,3.45,29.15555555555555,0.5555555555555556,10.0,Thursday,False
2026-03-06,12,4.363636363636363,17.974999999999998,0.4166666666666667,10.333333333333334,Friday,False
2026-03-07,10,4.388888888888889,13.080000000000002,0.3,10.285714285714286,Saturday,True
2026-03-08,3,3.8333333333333335,16.666666666666668,0.3333333333333333,10.142857142857142,Sunday,True
2026-03-09,12,3.983333333333333,16.425,0.5833333333333334,10.714285714285714,Monday,False
2026-03-10,15,3.892857142857143,24.746666666666666,0.4666666666666667,11.571428571428571,Tuesday,False
2026-03-11,7,4.314285714285715,23.514285714285712,0.14285714285714285,11.0,Wednesday,False
2026-03-12,21,4.214285714285714,18.2,0.2857142857142857,11.428571428571429,Thursday,False
2026-03-13,17,4.55625,12.111764705882353,0.23529411764705882,12.142857142857142,Friday,False
2026-03-14,6,4.08,17.349999999999998,0.16666666666666666,11.571428571428571,Saturday,True
2026-03-15,3,3.3333333333333335,15.266666666666667,0.6666666666666666,11.571428571428571,Sunday,True
2026-03-16,14,4.2,12.457142857142857,0.14285714285714285,11.857142857142858,Monday,False
2026-03-17,18,4.4944444444444445,24.211111111111112,0.16666666666666666,12.285714285714286,Tuesday,False
2026-03-18,16,4.286666666666666,14.01875,0.125,13.571428571428571,Wednesday,False
2026-03-19,8,3.2,44.525,0.875,11.714285714285714,Thursday,False
2026-03-20,18,3.85625,21.788888888888888,0.3888888888888889,11.857142857142858,Friday,False
2026-03-21,6,4.15,19.683333333333334,0.16666666666666666,11.857142857142858,Saturday,True
2026-03-22,9,4.033333333333333,12.577777777777778,0.2222222222222222,12.714285714285714,Sunday,True
2026-03-23,20,3.9368421052631577,22.669999999999998,0.4,13.571428571428571,Monday,False
2026-03-24,15,4.253333333333333,19.02,0.4666666666666667,13.142857142857142,Tuesday,False
2026-03-25,24,3.9826086956521736,28.837500000000002,0.4166666666666667,14.285714285714286,Wednesday,False
2026-03-26,18,4.225,22.205555555555556,0.1111111111111111,15.714285714285714,Thursday,False
2026-03-27,19,4.235294117647059,18.978947368421053,0.21052631578947367,15.857142857142858,Friday,False
2026-03-28,7,3.783333333333333,16.9,0.5714285714285714,16.0,Saturday,True
2026-03-29,5,4.7,15.34,0.2,15.428571428571429,Sunday,True
2026-03-30,11,4.118181818181818,14.490909090909092,0.45454545454545453,14.142857142857142,Monday,False
2026-03-31,18,4.16875,19.144444444444446,0.3333333333333333,14.571428571428571,Tuesday,False
2026-04-01,20,4.220000000000001,15.665000000000001,0.3,14.0,Wednesday,False
2026-04-02,21,4.385,12.22857142857143,0.19047619047619047,14.428571428571429,Thursday,False
2026-04-03,13,4.015384615384615,23.515384615384615,0.46153846153846156,13.571428571428571,Friday,False
2026-04-04,8,3.675,31.225,0.5,13.714285714285714,Saturday,True
2026-04-05,5,4.46,16.8,0.2,13.714285714285714,Sunday,True
2026-04-06,13,3.8333333333333335,26.73076923076923,0.3076923076923077,14.0,Monday,False
2026-04-07,12,4.425,16.475,0.25,13.142857142857142,Tuesday,False
2026-04-08,22,4.152380952380953,20.349999999999998,0.45454545454545453,13.428571428571429,Wednesday,False
2026-04-09,16,4.113333333333333,19.5125,0.375,12.714285714285714,Thursday,False
2026-04-10,17,3.975,20.71764705882353,0.29411764705882354,13.285714285714286,Friday,False
2026-04-11,7,4.428571428571429,13.414285714285715,0.14285714285714285,13.142857142857142,Saturday,True
2026-04-12,8,3.4875,29.299999999999997,0.5,13.571428571428571,Sunday,True
2026-04-13,12,3.9181818181818184,19.075,0.6666666666666666,13.428571428571429,Monday,False
2026-04-14,17,4.30625,17.011764705882353,0.47058823529411764,14.142857142857142,Tuesday,False
2026-04-15,23,4.495238095238095,14.930434782608694,0.21739130434782608,14.285714285714286,Wednesday,False
2026-04-16,20,4.075,17.365000000000002,0.35,14.857142857142858,Thursday,False
2026-04-17,22,4.238095238095238,17.51818181818182,0.36363636363636365,15.571428571428571,Friday,False
2026-04-18,10,3.9899999999999998,19.91,0.4,16.0,Saturday,True
2026-04-19,6,4.816666666666666,8.433333333333334,0.16666666666666666,15.714285714285714,Sunday,True
2026-04-20,21,4.363157894736842,13.27142857142857,0.2857142857142857,17.0,Monday,False
2026-04-21,21,4.025,19.295238095238094,0.42857142857142855,17.571428571428573,Tuesday,False
